Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
82.6,10.2098,95.0,69.0,82.6,91.25,30.922281,156.0,57.0,91.25,44.03434753417969,64500,7.494602203369141,,61
88.4,23.431602,128.0,62.0,88.4,95.545456,23.305729,149.0,62.0,95.54545454545455,42.35121536254883,65551,7.836080074310303,,62
93.4,19.085072,113.0,60.0,93.4,100.4,47.12579,196.0,57.0,100.4,52.28029251098633,66555,7.947170972824097,,63
102.0,12.083046,122.0,90.0,102.0,85.416664,28.863062,165.0,54.0,85.41666666666667,40.99738693237305,67580,8.047538042068481,,64
86.166664,21.380806,123.0,60.0,86.16666666666667,118.333336,49.299538,200.0,57.0,118.33333333333333,59.84573745727539,68645,8.1576509475708,,65
86.8,23.007824,109.0,54.0,86.8,99.333336,38.19104,200.0,50.0,99.33333333333333,45.29977798461914,69837,8.269971132278442,,66
97.8,24.326117,126.0,56.0,97.8,83.75,39.215485,181.0,49.0,83.75,42.79607391357422,70842,8.373005867004395,,67
68.0,18.770544,93.0,40.0,68.0,97.09091,33.71122,172.0,54.0,97.0909090909091,45.13290786743164,71910,8.47532606124878,,68
115.25,51.01654,200.0,64.0,115.25,75.07143,17.64517,103.0,42.0,75.07142857142857,32.20325469970703,72961,8.579357147216797,,69
61.42857,13.361535,84.0,45.0,61.42857142857143,71.13333,18.800236,118.0,48.0,71.13333333333334,29.151153564453125,74028,8.684107065200806,,70
75.166664,17.789665,100.0,57.0,75.16666666666667,77.53846,21.88296,115.0,38.0,77.53846153846153,32.51299285888672,75036,8.792218923568726,,71
87.0,33.88805,152.0,56.0,87.0,66.933334,22.617004,134.0,46.0,66.93333333333334,27.204622268676758,76040,8.89336895942688,,72
87.0,57.208393,200.0,44.0,87.0,68.333336,21.736809,126.0,46.0,68.33333333333333,28.90151596069336,77065,8.99563980102539,,73
57.857143,15.86036,85.0,37.0,57.857142857142854,71.933334,22.56684,109.0,33.0,71.93333333333334,30.153078079223633,78144,9.099640846252441,,74
67.666664,9.159088,84.0,57.0,67.66666666666667,64.125,20.539215,128.0,38.0,64.125,27.92589569091797,79170,9.196243047714233,,75
64.28571,13.708332,87.0,48.0,64.28571428571429,64.75,16.060432,100.0,45.0,64.75,25.641292572021484,80206,9.31739091873169,,76
67.666664,17.47061,103.0,49.0,67.66666666666667,68.53333,13.773727,95.0,50.0,68.53333333333333,26.45880889892578,81234,9.416465044021606,,77
70.666664,16.789547,97.0,51.0,70.66666666666667,78.61539,39.796673,183.0,44.0,78.61538461538461,37.782928466796875,82256,9.515062808990479,,78
81.166664,22.63785,126.0,58.0,81.16666666666667,77.61539,45.281235,200.0,43.0,77.61538461538461,37.34941482543945,83265,9.615692853927612,,79
88.2,33.93759,137.0,50.0,88.2,81.69231,28.255386,138.0,45.0,81.6923076923077,35.664894104003906,84327,9.716718912124634,,80
83.6,36.19171,146.0,44.0,83.6,92.5,38.844776,200.0,56.0,92.5,38.51472854614258,85437,9.821945905685425,,81
75.5,17.585505,105.0,55.0,75.5,72.86667,21.029715,138.0,49.0,72.86666666666666,28.42909812927246,86530,9.927021980285645,,82
116.5,10.98863,134.0,104.0,116.5,88.75,26.969505,136.0,49.0,88.75,34.27744674682617,87595,10.032711029052734,,83
88.6,32.54904,152.0,67.0,88.6,94.545456,24.670053,142.0,61.0,94.54545454545455,37.83332061767578,88635,10.200875043869019,,84
105.25,33.75185,149.0,69.0,105.25,92.72727,33.54533,158.0,56.0,92.72727272727273,40.21250915527344,89655,10.305235147476196,,85
98.0,18.740332,126.0,81.0,98.0,107.8,33.83135,168.0,62.0,107.8,42.055809020996094,90733,10.418195009231567,,86
90.8,16.951696,117.0,67.0,90.8,86.75,20.976673,129.0,63.0,86.75,33.77762222290039,91774,10.522811889648438,,87
107.0,40.45368,175.0,74.0,107.0,106.8,36.594532,182.0,66.0,106.8,42.39780044555664,92842,10.774662971496582,,88
115.25,30.654324,161.0,78.0,115.25,96.36364,39.125145,200.0,59.0,96.36363636363636,40.83689498901367,93902,10.917096138000488,,89
106.75,15.562374,122.0,81.0,106.75,95.72727,27.5321,158.0,57.0,95.72727272727273,40.23711013793945,94955,11.02075719833374,,90
133.33333,13.424687,152.0,121.0,133.33333333333334,104.9,22.002045,135.0,68.0,104.9,41.14337158203125,96004,11.123308897018433,,91
101.0,17.277153,130.0,85.0,101.0,105.181816,25.340654,168.0,81.0,105.18181818181819,40.11420440673828,97161,11.232342004776001,,92
144.66667,7.1336446,152.0,135.0,144.66666666666666,115.666664,42.182144,181.0,62.0,115.66666666666667,48.076622009277344,98202,11.338069200515747,,93
162.66667,9.030812,173.0,151.0,162.66666666666666,100.4,27.423346,156.0,66.0,100.4,40.31599426269531,99206,11.441237211227417,,94
117.5,43.338783,192.0,84.0,117.5,131.875,26.088491,180.0,91.0,131.875,52.47502899169922,100261,11.546190977096558,,95
133.33333,47.59085,200.0,92.0,133.33333333333334,131.375,30.161802,176.0,83.0,131.375,49.81686019897461,101312,11.646307945251465,,96
146.66667,38.143005,200.0,113.0,146.66666666666666,154.0,43.316113,200.0,97.0,154.0,65.64762115478516,102390,11.750913143157959,,97
102.0,6.595453,112.0,94.0,102.0,115.22222,13.002374,144.0,95.0,115.22222222222223,45.72793960571289,103427,11.853953838348389,,98
139.66667,39.041286,194.0,104.0,139.66666666666666,128.875,30.612242,194.0,82.0,128.875,49.92051315307617,104458,11.954916000366211,,99
========================================================================================

========================================================================================
Experiment: CartPole-v0_cartpole_rtg_sd1_20260225_144235
Logged at: 2026-02-25T14:42:49
Config: {"baseline_gradient_steps": 5, "baseline_learning_rate": 0.005, "batch_size": 1000, "discount": 1.0, "env_name": "CartPole-v0", "ep_len": null, "eval_batch_size": 400, "exp_name": "cartpole_rtg", "gae_lambda": null, "layer_size": 64, "learning_rate": 0.005, "n_iter": 100, "n_layers": 2, "no_gpu": false, "normalize_advantages": false, "save_dir": "/Users/sreeramranga/Documents/GitHub/cs185-hw-sp26/hw2/exp/CartPole-v0_cartpole_rtg_sd1_20260225_144235", "scalar_log_freq": 1, "seed": 1, "use_baseline": false, "use_reward_to_go": true, "video_log_freq": -1, "which_gpu": 0}
----------------------------------------------------------------------------------------
Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
23.647058,11.082265,55.0,13.0,23.647058823529413,24.261906,10.592134,49.0,9.0,24.261904761904763,10.286931037902832,1019,0.17771506309509277,24.261906,0
34.916668,13.431669,59.0,13.0,34.916666666666664,32.48387,17.747095,92.0,14.0,32.483870967741936,14.41855525970459,2026,0.6024460792541504,,1
36.666668,31.815437,138.0,13.0,36.666666666666664,52.5,42.69719,200.0,14.0,52.5,28.479291915893555,3076,0.7114179134368896,,2
40.18182,17.314304,79.0,16.0,40.18181818181818,45.086956,20.698483,97.0,19.0,45.08695652173913,17.458301544189453,4113,0.8170409202575684,,3
63.875,27.82282,123.0,23.0,63.875,49.52381,20.854643,101.0,19.0,49.523809523809526,17.815330505371094,5153,0.9683661460876465,,4
104.0,42.26701,170.0,59.0,104.0,61.294117,34.249542,175.0,29.0,61.294117647058826,24.503461837768555,6195,1.0723998546600342,,5
65.28571,24.252918,102.0,33.0,65.28571428571429,79.92308,25.855997,118.0,38.0,79.92307692307692,26.654335021972656,7234,1.179513931274414,,6
103.4,29.526937,140.0,58.0,103.4,77.53846,33.708286,146.0,31.0,77.53846153846153,26.3734188079834,8242,1.2869479656219482,,7
107.0,35.566837,164.0,66.0,107.0,92.454544,37.195705,172.0,26.0,92.45454545454545,30.84776496887207,9259,1.3967528343200684,,8
103.8,55.582012,173.0,43.0,103.8,96.181816,26.401854,136.0,55.0,96.18181818181819,28.941082000732422,10317,1.5184011459350586,,9
150.66667,34.922134,200.0,124.0,150.66666666666666,114.666664,38.867294,182.0,64.0,114.66666666666667,35.05348205566406,11349,1.623844861984253,,10
161.0,38.27096,200.0,109.0,161.0,145.85715,46.627487,200.0,64.0,145.85714285714286,43.73030090332031,12370,1.738882064819336,,11
194.33333,8.013877,200.0,183.0,194.33333333333334,155.28572,28.708956,200.0,131.0,155.28571428571428,44.243873596191406,13457,1.855659008026123,,12
142.0,26.105555,182.0,115.0,142.0,162.28572,16.130842,189.0,138.0,162.28571428571428,42.58584213256836,14593,1.9796061515808105,,13
161.66667,54.21152,200.0,85.0,161.66666666666666,157.14285,32.528793,200.0,116.0,157.14285714285714,43.83506393432617,15693,2.093061923980713,,14
173.66667,37.240955,200.0,121.0,173.66666666666666,156.57143,38.10833,200.0,110.0,156.57142857142858,43.25600814819336,16789,2.2069690227508545,,15
178.33333,30.641293,200.0,135.0,178.33333333333334,181.66667,32.17487,200.0,112.0,181.66666666666666,46.485076904296875,17879,2.410245895385742,,16
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,52.613609313964844,18879,2.5104799270629883,,17
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,52.123207092285156,19879,2.614370107650757,,18
200.0,0.0,200.0,200.0,200.0,199.66667,0.745356,200.0,198.0,199.66666666666666,50.60047912597656,21077,2.7338922023773193,,19
198.0,2.828427,200.0,194.0,198.0,192.16667,17.515867,200.0,153.0,192.16666666666666,47.876319885253906,22230,2.8589229583740234,,20
153.0,26.1916,181.0,118.0,153.0,168.14285,28.78208,200.0,130.0,168.14285714285714,43.21963119506836,23407,2.97587513923645,,21
131.75,9.756408,144.0,118.0,131.75,150.57143,23.8798,200.0,124.0,150.57142857142858,38.64310836791992,24461,3.088191032409668,,22
85.8,32.725525,121.0,38.0,85.8,126.125,18.003038,158.0,107.0,126.125,31.57044792175293,25470,3.190412998199463,,23
62.285713,26.687153,106.0,29.0,62.285714285714285,91.583336,26.765831,124.0,50.0,91.58333333333333,24.24881935119629,26569,3.299060106277466,,24
68.166664,21.32617,108.0,36.0,68.16666666666667,79.85714,28.147207,135.0,52.0,79.85714285714286,21.557138442993164,27687,3.4063949584960938,,25
81.4,31.039331,125.0,50.0,81.4,70.933334,21.486326,118.0,45.0,70.93333333333334,18.877092361450195,28751,3.5153658390045166,,26
68.833336,22.959505,114.0,50.0,68.83333333333333,80.53846,24.578337,117.0,37.0,80.53846153846153,20.954673767089844,29798,3.6186580657958984,,27
110.0,6.78233,120.0,102.0,110.0,99.27273,19.207436,120.0,69.0,99.27272727272727,24.254362106323242,30890,3.726670980453491,,28
